alert_id,alert_date,alert_type,severity,plant_id,material_id,supplier_id,description,metric_value,expected_value,deviation_pct,is_resolved
1,2025-02-17,DEMAND_SPIKE,HIGH,PLT-OH1,MAT-034,SUP-018,Demand for Furnace Quartz Tube Liner at PLT-OH1 spiked 22.9% above 30-day average,457.5017,364.3891,25.55,False
2,2025-02-26,PRICE_ANOMALY,MEDIUM,PLT-LA1,MAT-011,SUP-007,Purchase price for Aluminum Extrusion Frame 2m Side Rail from Hydro Extrusions North America is 25.3% above market avg,8.0777,6.5138,24.01,False
3,2025-01-30,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-039,SUP-006,Demand for Polyvinyl Butyral Interlayer Film at PLT-AL1 spiked 15.0% above 30-day average,253.2951,216.8285,16.82,True
4,2025-02-26,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-032,SUP-018,Supplier Sumitomo Electric Wiring delivery for Carton Box Module Single is 8d overdue to PLT-OH1,6.7303,5.4711,23.02,True
5,2025-02-21,PRICE_ANOMALY,MEDIUM,PLT-OH1,MAT-038,SUP-002,Purchase price for Thermoplastic Polyolefin Backsheet Roll from NSG Group Pilkington is 36.8% above market avg,256.1186,178.3557,43.6,False
6,2025-01-08,DEMAND_SPIKE,HIGH,PLT-OH1,MAT-018,SUP-010,Demand for Lead-Free Solder Wire 500g Reel at PLT-OH1 spiked 44.8% above 30-day average,23.5606,18.5976,26.69,False
7,2025-01-20,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-048,SUP-016,Supplier Eastman Chemical Solar Films delivery for Anti-PID Film Sheet is 5d overdue to PLT-OH1,2.4553,1.8601,32.0,True
8,2025-03-28,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-041,SUP-007,Supplier Hydro Extrusions North America delivery for Thermal Interface Paste 1kg is 9d overdue to PLT-AL1,50.6952,42.9851,17.94,True
9,2025-03-20,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-015,SUP-018,Supplier Sumitomo Electric Wiring delivery for Stainless Steel Fastener Set is 4d overdue to PLT-OH1,1.6309,1.2218,33.48,False
10,2025-01-06,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-037,SUP-015,Purchase price for Argon Gas High Purity 50L from Borealis Polyolefin Solutions is 43.8% above market avg,72.8294,55.2453,31.83,True
11,2025-03-13,DEMAND_SPIKE,HIGH,PLT-OH1,MAT-031,SUP-002,Demand for Module Interleaf Paper Roll at PLT-OH1 spiked 27.1% above 30-day average,18.138,15.4198,17.63,False
12,2025-01-02,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-025,SUP-018,Purchase price for Isopropyl Alcohol Technical Grade 200L from Sumitomo Electric Wiring is 19.3% above market avg,244.3314,182.3251,34.01,False
13,2025-01-29,DEMAND_SPIKE,HIGH,PLT-OH1,MAT-044,SUP-012,Demand for Laser Head Cooling Pump Filter at PLT-OH1 spiked 15.4% above 30-day average,189.1971,139.2711,35.85,False
14,2025-01-28,DEMAND_SPIKE,HIGH,PLT-LA1,MAT-042,SUP-006,Demand for Heat Sink Compound Syringe 50g at PLT-LA1 spiked 17.2% above 30-day average,14.3965,12.5627,14.6,True
15,2025-01-08,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-028,SUP-020,Purchase price for Module Shipping Pallet Rack from Nitto Denko Corporation Tapes is 33.3% above market avg,64.6193,47.0389,37.37,False
16,2025-01-07,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-039,SUP-008,Purchase price for Polyvinyl Butyral Interlayer Film from Arconic Aluminum Products is 34.9% above market avg,274.6801,214.5518,28.03,False
17,2025-02-21,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-039,SUP-011,Supplier Henkel Adhesives Technologies delivery for Polyvinyl Butyral Interlayer Film is 12d overdue to PLT-OH1,277.3147,213.0927,30.14,False
18,2025-03-21,INVENTORY_DROP,HIGH,PLT-AL1,MAT-045,SUP-015,Inventory for EL Imaging Camera Reference Target at PLT-AL1 dropped 17.7% in 7 days,760.0897,616.7499,23.24,True
19,2025-02-03,DEMAND_SPIKE,HIGH,PLT-LA1,MAT-029,SUP-009,Demand for Protective Foam Corner Piece at PLT-LA1 spiked 26.4% above 30-day average,3.8535,2.8358,35.89,True
20,2025-03-31,INVENTORY_DROP,HIGH,PLT-OH1,MAT-035,SUP-005,Inventory for Vacuum O-Ring Kit at PLT-OH1 dropped 40.7% in 7 days,135.4151,97.0761,39.49,False
21,2025-01-23,PRICE_ANOMALY,MEDIUM,PLT-LA1,MAT-037,SUP-007,Purchase price for Argon Gas High Purity 50L from Hydro Extrusions North America is 29.8% above market avg,64.7954,54.0004,19.99,True
22,2025-03-13,SUPPLIER_DELAY,HIGH,PLT-LA1,MAT-041,SUP-008,Supplier Arconic Aluminum Products delivery for Thermal Interface Paste 1kg is 14d overdue to PLT-LA1,49.2634,43.6578,12.84,False
23,2025-03-11,INVENTORY_DROP,HIGH,PLT-LA1,MAT-040,SUP-011,Inventory for Edge Seal Tape 50mm at PLT-LA1 dropped 35.6% in 7 days,33.0845,27.0702,22.22,True
24,2025-01-31,PRICE_ANOMALY,MEDIUM,PLT-OH1,MAT-018,SUP-009,Purchase price for Lead-Free Solder Wire 500g Reel from TE Connectivity Solar Solution is 20.5% above market avg,23.0367,17.453,31.99,False
25,2025-02-21,SUPPLIER_DELAY,HIGH,PLT-LA1,MAT-016,SUP-005,Supplier Materion Corporation delivery for Junction Box with Bypass Diodes is 14d overdue to PLT-LA1,9.6922,7.4185,30.65,True
26,2025-02-04,DEMAND_SPIKE,HIGH,PLT-OH1,MAT-026,SUP-006,Demand for De-ionized Water System Resin at PLT-OH1 spiked 22.8% above 30-day average,50.5723,38.1256,32.65,False
27,2025-03-27,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-025,SUP-006,Supplier Umicore Advanced Materials delivery for Isopropyl Alcohol Technical Grade 200L is 5d overdue to PLT-OH1,230.8363,186.63,23.69,False
28,2025-03-07,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-033,SUP-004,Demand for Magnetron Sputtering Target Holder at PLT-AL1 spiked 31.8% above 30-day average,1441.1592,1217.4985,18.37,True
29,2025-03-11,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-040,SUP-011,Purchase price for Edge Seal Tape 50mm from Henkel Adhesives Technologies is 37.7% above market avg,33.7885,26.6213,26.92,False
30,2025-01-22,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-031,SUP-020,Demand for Module Interleaf Paper Roll at PLT-AL1 spiked 29.5% above 30-day average,18.7505,14.7504,27.12,False
31,2025-01-07,DEMAND_SPIKE,HIGH,PLT-OH1,MAT-014,SUP-013,Demand for Mounting Hole Insert at PLT-OH1 spiked 24.2% above 30-day average,1.0111,0.8778,15.19,False
32,2025-02-07,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-040,SUP-007,Supplier Hydro Extrusions North America delivery for Edge Seal Tape 50mm is 10d overdue to PLT-OH1,40.0404,26.8727,49.0,True
33,2025-03-21,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-002,SUP-020,Purchase price for Back Glass Panel 2m x 1.2m from Nitto Denko Corporation Tapes is 23.0% above market avg,30.3295,21.14,43.47,True
